NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Chaostreff Flensburg e.V.;;Apenrader Str.;49;24939;Flensburg;DEU;HOUSE;Abbsender
FernUniversität in Hagen;;Universitätsstraße;47;58084;Hagen;DEU;HOUSE;62638
Ludwig-Maximilians-Universität München;;Geschwister-Scholl-Platz;1;80539;München;DEU;HOUSE;51574
Universität zu Köln;;Albertus-Magnus-Platz;;50923;Köln;DEU;HOUSE;51195
Technische Universität München;;Arcisstraße;21;80333;München;DEU;HOUSE;49514
Rheinisch-Westfälische Technische Hochschule Aach;;Templergraben;55;52056;Aachen;DEU;HOUSE;47302
Westfälische Wilhelms-Universität Münster;;Schlossplatz;2;48149;Münster;DEU;HOUSE;43869
Johann Wolfgang Goethe-Universität, Frankfurt am ;;Theodor-W.-Adorno-Platz;1;60054;Frankfurt am Main;DEU;HOUSE;42899
Universität Hamburg;;Mittelweg;177;20148;Hamburg;DEU;HOUSE;42468
Freie Universität Berlin;;Kaiserswerther Str.;16-18;14195;Berlin;DEU;HOUSE;42063
Ruhr-Universität Bochum;;Universitätsstraße;150;44780;Bochum;DEU;HOUSE;41694
Universität Duisburg-Essen;;Universitätsstraße;2;45117;Essen;DEU;HOUSE;41237
Humboldt-Universität zu Berlin;;Unter den Linden;6;10099;Berlin;DEU;HOUSE;40514
Friedrich-Alexander-Universität Erlangen-Nürnberg;;Schlossplatz;4;91023;Erlangen;DEU;HOUSE;39053
Rheinische Friedrich-Wilhelms-Universität Bonn;;Regina-Pacis-Weg;3;53012;Bonn;DEU;HOUSE;36579
Technische Universität Berlin;;Straße des 17. Juni;135;10623;Berlin;DEU;HOUSE;35228
Heinrich-Heine-Universität Düsseldorf;;Universitätsstraße;1;40225;Düsseldorf;DEU;HOUSE;33993
Technische Universität Dortmund;;August-Schmidt-Straße;4;44221;Dortmund;DEU;HOUSE;32240
Duale Hochschule Baden-Württemberg;;Friedrichstraße;14.;70174;Stuttgart;DEU;HOUSE;31767
Johannes Gutenberg-Universität Mainz;;Saarstraße;21;55099;Mainz;DEU;HOUSE;30136
Technische Universität Dresden;;Mommsenstraße;11;1062;Dresden;DEU;HOUSE;29954
Universität Leipzig;;Ritterstraße;26;4009;Leipzig;DEU;HOUSE;29746
Ruprecht-Karls-Universität Heidelberg;;Seminarstraße;2;69047;Heidelberg;DEU;HOUSE;29147
Gottfried Wilhelm Leibniz Universität Hannover;;Welfengarten;1;30060;Hannover;DEU;HOUSE;28078
Eberhard Karls Universität Tübingen;;Geschwister-Scholl-Platz;;72074;Tübingen;DEU;HOUSE;28062
Georg-August-Universität Göttingen;;Wilhelmsplatz;1;37027;Göttingen;DEU;HOUSE;27871
Christian-Albrechts-Universität zu Kiel;;Christian-Albrechts-Platz;4;24118;Kiel;DEU;HOUSE;27152
Julius-Maximilians-Universität Würzburg;;Sanderring;2;97070;Würzburg;DEU;HOUSE;26643
Justus-Liebig-Universität Gießen;;Ludwigstraße;23;35359;Gießen;DEU;HOUSE;26068
Universität Bielefeld;;Universitätsstraße;25;33501;Bielefeld;DEU;HOUSE;24555
Technische Universität Darmstadt;;Karolinenplatz;5;64277;Darmstadt;DEU;HOUSE;24405
Technische Hochschule Köln;;Claudiusstraße;1;50678;Köln;DEU;HOUSE;24294
Albert-Ludwigs-Universität Freiburg im Breisgau;;Fahnenbergplatz;;79085;Freiburg;DEU;HOUSE;24187
Universität Kassel;;Mönchebergstraße;19;34109;Kassel;DEU;HOUSE;22893
Bergische Universität Wuppertal;;Gaußstraße;20;42097;Wuppertal;DEU;HOUSE;22272
Philipps-Universität Marburg;;Biegenstraße;10;35032;Marburg;DEU;HOUSE;21984
Universität Stuttgart;;Keplerstraße;7;70049;Stuttgart;DEU;HOUSE;21804
Karlsruher Institut für Technologie;;Kaiserstraße;12;76049;Karlsruhe;DEU;HOUSE;21746
Universität Potsdam;;Am Neuen Palais;10;14469;Potsdam;DEU;HOUSE;20899
Universität Regensburg;;Universitätsstraße;31;93040;Regensburg;DEU;HOUSE;20600
Martin-Luther-Universität Halle-Wittenberg;;Universitätsplatz;11;6108;Halle;DEU;HOUSE;20075
Universität Augsburg;;Universitätsstraße;2;86135;Augsburg;DEU;HOUSE;19392
Universität Paderborn;;Warburger Straße;100;33095;Paderborn;DEU;HOUSE;18502
Hochschule für angewandte Wissenschaften München;;Lothstr.;34;80001;München;DEU;HOUSE;18107
Universität Bremen;;Bibliothekstraße;1;28334;Bremen;DEU;HOUSE;17984
Friedrich-Schiller-Universität Jena;;Fürstengraben;1;7737;Jena;DEU;HOUSE;17015
Technische Universität Carolo-Wilhelmina zu Braun;;Universitätsplatz;2;38023;Braunschweig;DEU;HOUSE;16908
Hochschule für Angewandte Wissenschaften Hamburg;;Berliner Tor;5;20014;Hamburg;DEU;HOUSE;16877
Technische Hochschule Mittelhessen - THM;;Wiesenstraße;14;35390;Gießen;DEU;HOUSE;16795
Universität Siegen;;Adolf-Reichwein-Straße;2;57076;Siegen;DEU;HOUSE;16791
Universität des Saarlandes;;Campus;;66041;Saarbrücken;DEU;HOUSE;16122
Carl von Ossietzky Universität Oldenburg;;Ammerländer Heerstraße;114-118;26111;Oldenburg;DEU;HOUSE;15495
Hochschule Darmstadt;;Schöfferstraße;3;64295;Darmstadt;DEU;HOUSE;15474
Frankfurt University of Applied Sciences;;Nibelungenplatz;1;60318;Frankfurt am Main;DEU;HOUSE;15297
FH Münster University of Applied Sciences;;Hüfferstr.;27;48016;Münster;DEU;HOUSE;15184
Fachhochschule Dortmund;;Sonnenstraße;96;44047;Dortmund;DEU;HOUSE;14371
Hochschule für Technik und Wirtschaft Berlin;;Treskowallee;8;10313;Berlin;DEU;HOUSE;14156
Fachhochschule Aachen;;Bayernallee;11;52005;Aachen;DEU;HOUSE;14086
Universität Osnabrück;;Neuer;Graben/Schloss;49069;Osnabrück;DEU;HOUSE;13597
Hochschule Osnabrück;;Albrechtstraße 30;;49009;Osnabrück;DEU;HOUSE;13317
Hochschule Niederrhein;;Reinarzstraße;49;47707;Krefeld;DEU;HOUSE;13179
Hochschule für Polizei und öffentliche Verwaltung;;Haidekamp;73;45886;Gelsenkirchen;DEU;HOUSE;13078
Hochschule RheinMain;;Kurt-Schumacher-Ring;18;65022;Wiesbaden;DEU;HOUSE;12945
Berliner Hochschule für Technik;;Luxemburger Str.;10;13353;Berlin;DEU;HOUSE;12854
Otto-von-Guericke-Universität Magdeburg;;Universitätsplatz;2;39016;Magdeburg;DEU;HOUSE;12833
Universität Rostock;;Universitätsplatz;1;18051;Rostock;DEU;HOUSE;12814
Technische Hochschule Nürnberg Georg Simon Ohm;;Keßlerplatz;12;90121;Nürnberg;DEU;HOUSE;12601
Hochschule für Wirtschaft und Recht Berlin;;Badensche Straße;52;10825;Berlin;DEU;HOUSE;12433
Universität Bayreuth;;Universitätsstraße;30;95440;Bayreuth;DEU;HOUSE;12329
Universität Mannheim;;Schloss;;68131;Mannheim;DEU;HOUSE;11560
Otto-Friedrich-Universität Bamberg;;Kapuzinerstr.;25;96045;Bamberg;DEU;HOUSE;11311
Universität Passau;;Innstraße;41;94030;Passau;DEU;HOUSE;11202
Hochschule Düsseldorf;;Münsterstraße;156;40476;Düsseldorf;DEU;HOUSE;11172
Universität Trier;;Universitätsring;15;54296;Trier;DEU;HOUSE;11034
Fachhochschule Südwestfalen;;Baarstraße;6;58590;Iserlohn;DEU;HOUSE;10995
Universität Konstanz;;Universitätsstraße;10;78457;Konstanz;DEU;HOUSE;10832
Hochschule Braunschweig/Wolfenbüttel, Ostfalia Ho;;Salzdahlumer Straße;46/48;38302;Wolfenbüttel;DEU;HOUSE;10775
Ostbayerische Technische Hochschule Regensburg;;Seybothstraße;2;93025;Regensburg;DEU;HOUSE;10564
Hochschule Bielefeld - University of Applied Scie;;Interaktion;1;33511;Bielefeld;DEU;HOUSE;10538
Universität Greifswald;;Domstraße;11;17489;Greifswald;DEU;HOUSE;10356
Universität Ulm;;Albert-Einstein-Allee;11;89069;Ulm;DEU;HOUSE;10181
Leuphana Universität Lüneburg;;Universitätsallee;1;21335;Lüneburg;DEU;HOUSE;9337
Technische Universität Chemnitz;;Straße der Nationen;62;9107;Chemnitz;DEU;HOUSE;9258
Technische Hochschule Würzburg-Schweinfurt;;Münzstraße;12;97070;Würzburg;DEU;HOUSE;9230
Hochschule Bonn-Rhein-Sieg, University of Applied;;Grantham-Allee;20;53757;Sankt Augustin;DEU;HOUSE;9070
Hochschule Koblenz;;Konrad-Zuse-Straße;1;56075;Koblenz;DEU;HOUSE;8992
Hochschule Fulda - University of Applied Sciences;;Leipziger Straße;123;36012;Fulda;DEU;HOUSE;8963
Hochschule Hannover;;Expo Plaza;4;30531;Hannover;DEU;HOUSE;8891
Hochschule Bremen;;Neustadtwall;30;28199;Bremen;DEU;HOUSE;8672
Universität Hohenheim;;Schloss Hohenheim;1;70599;Stuttgart;DEU;HOUSE;8653
Hochschule des Bundes für öffentliche Verwaltung;;Willy-Brandt-Straße;1;50306;Brühl;DEU;HOUSE;8641
Technische Hochschule Deggendorf;;Dieter-Görlitz-Platz;1;94453;Deggendorf;DEU;HOUSE;8382
Universität Hildesheim;;Universitätsplatz;1;31113;Hildesheim;DEU;HOUSE;8070
Hochschule Wismar - University of Applied Science;;Philipp-Müller-Straße;14;23952;Wismar;DEU;HOUSE;8048
Hochschule Heilbronn, Technik, Wirtschaft, Inform;;Max-Planck-Straße;39;74081;Heilbronn;DEU;HOUSE;7862
Hochschule Bochum - University of Applied Science;;Am Hochschulcampus;1;44707;Bochum;DEU;HOUSE;7695
Fachhochschule Kiel;;Sokratesplatz;1;24149;Kiel;DEU;HOUSE;7670
Westfälische Hochschule Gelsenkirchen, Bocholt, R;;Neidenburger Straße;43;45877;Gelsenkirchen;DEU;HOUSE;7620
Technische Universität Hamburg;;Am Schwarzenberg-Campus 3;(E);21073;Hamburg;DEU;HOUSE;7223
Hochschule Anhalt - Anhalt University of Applied ;;Bernburger Straße;55;6354;Köthen;DEU;HOUSE;7067
Hochschule Karlsruhe - Technik und Wirtschaft;;Moltkestraße;30;76012;Karlsruhe;DEU;HOUSE;6934
Technische Hochschule Ingolstadt;;Esplanade;10;85019;Ingolstadt;DEU;HOUSE;6878
Hochschule für Technik, Wirtschaft und Kultur Lei;;Karl-Liebknecht-Straße;132;4251;Leipzig;DEU;HOUSE;6843
Hochschule Trier - Trier University of Applied Sc;;Schneidershof;;54208;Trier;DEU;HOUSE;6688
Brandenburgische Technische Universität Cottbus-S;;Platz der Dt. Einheit;1;3013;Cottbus;DEU;HOUSE;6620
Technische Hochschule Augsburg;;An der Hochschule;1;86031;Augsburg;DEU;HOUSE;6606
Hochschule Rhein-Waal - University of Applied Sci;;Marie-Curie-Str.;1;47533;Kleve;DEU;HOUSE;6465
Jade Hochschule -  Wilhelmshaven/Oldenburg/Elsfle;;Friedrich-Paffrath-Straße;101;26389;Wilhelmshaven;DEU;HOUSE;6399
Technische Hochschule Rosenheim;;Hochschulstraße;1;83024;Rosenheim;DEU;HOUSE;6383
Hochschule Esslingen;;Kanalstraße;33;73728;Esslingen;DEU;HOUSE;6335
